,Unnamed: 0,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,dem_votes,dem_candidate,rep_votes,rep_candidate,dem_voteshare,rep_voteshare,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,L6_winner,L7_winner,L8_winner,L9_winner,L10_winner,incumbent_in_race,incumbent_party,dL2_winner,dL3_winner,dL4_winner,dL5_winner,dL6_winner,dL7_winner,dL8_winner,dL9_winner,dL10_winner,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,incumbent_L10_races,rep_wins,dem_wins,rep_L5_wins,rep_L10_wins,dem_L10_wins,dem_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,rep_L1_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,dem_L1_wins,rep_L5_voteshare,rep_L10_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,rep_L1_voteshare,dem_L10_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,dem_L1_voteshare,target
128,7818,2012-AL-05,189185,291293,2012,Alabama,MoBrooks,republican,FALSE,AL-05,0.649466345,101772,Charlie L. Holley,189185,Mo Brooks,0.349380177,0.649466345,MoBrooks,ParkerGriffith,BudCramer,BudCramer,BudCramer,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,8,3,2,2,2,1,2,1,0,0,0.395383658,0.357710421,0.426937344,0.569249792,0.614169792,0.578873239,0.637640061,0.599429926,0.566865522,0.428304179,0.384836232,0.420292287,0
129,8253,2014-AL-05,115338,154974,2014,Alabama,MoBrooks,republican,FALSE,AL-05,0.744240969,0,0,115338,Mo Brooks,0,0.744240969,MoBrooks,MoBrooks,ParkerGriffith,BudCramer,BudCramer,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,3,3,7,2,3,3,2,1,1,0,0,0,0.490398069,0.38266015,0.612997586,0.657526851,0.696853657,0.649466345,0.587158254,0.453492418,0.321228134,0.256557488,0.174690088,0.349380177,0
130,8688,2016-AL-05,205647,308326,2016,Alabama,MoBrooks,republican,FALSE,AL-05,0.666979107,102234,"Will Boyd, Jr.",205647,Mo Brooks,0.331577616,0.666979107,MoBrooks,MoBrooks,MoBrooks,ParkerGriffith,BudCramer,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,1,1,0,0,0,0,0,0,0,3,3,3,2,3,1,0,4,4,6,1,4,3,2,1,0,0,0,0,0.623793891,0.406261835,0.659889915,0.686895474,0.705610038,0.744240969,0.564639212,0.323298031,0.27531252,0.226985931,0.165788808,0,0
131,9123,2018-AL-05,159063,260673,2018,Alabama,MoBrooks,republican,FALSE,AL-05,0.610201287,0,0,159063,Mo Brooks,0,0.610201287,MoBrooks,MoBrooks,MoBrooks,MoBrooks,ParkerGriffith,1,BudCramer,BudCramer,BudCramer,BudCramer,BudCramer,1,republican,1,1,1,0,0,0,0,0,0,4,4,3,2,4,1,0,5,5,5,0,4,3,2,1,0,0,0,0,0.649952189,0.437029237,0.667721927,0.673807121,0.638590197,0.666979107,0.494961709,0.220250016,0.170239448,0.110525872,0.165788808,0.331577616,0
150,7819,2012-AL-06,219262,308102,2012,Alabama,SpencerBachus,republican,FALSE,AL-06,0.711653933,88267,Penny H. Bailey,219262,Spencer Bachus,0.286486294,0.711653933,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,republican,1,1,1,1,1,1,1,1,1,5,4,3,2,10,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.928269942,0.886097972,0.913344408,0.890043496,0.846092724,0.980531514,0.105001092,0.057297259,0.071621574,0.095495431,0.143243147,0,0
151,8254,2014-AL-06,135945,178449,2014,Alabama,GaryPalmer,republican,FALSE,AL-06,0.7618143,42291,Mark Lester,135945,Gary Palmer,0.236992082,0.7618143,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,0,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,0,republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.883038387,0.883263287,0.857986197,0.817999916,0.736734117,0.711653933,0.10779031,0.104695675,0.130869594,0.174492792,0.261739188,0.286486294,0
152,8689,2016-AL-06,245313,329306,2016,Alabama,GaryPalmer,republican,FALSE,AL-06,0.744939357,83709,David J. Putnam,245313,Gary J. Palmer,0.254198223,0.744939357,GaryPalmer,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,republican,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.835376829,0.885923778,0.799734776,0.739469197,0.753376829,0.7618143,0.105904054,0.15553532,0.19441915,0.259225533,0.245595152,0.236992082,0
153,9124,2018-AL-06,192542,278328,2018,Alabama,GaryPalmer,republican,FALSE,AL-06,0.69178092,85644,Danner Kline,192542,Gary Palmer,0.30770889,0.69178092,GaryPalmer,GaryPalmer,SpencerBachus,SpencerBachus,SpencerBachus,1,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,republican,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,5,10,0,0,4,3,2,1,0,0,0,0,0.778144005,0.883314337,0.727547128,0.732844859,0.718360139,0.744939357,0.108538549,0.217077098,0.271346372,0.266299732,0.280953556,0.254198223,0
172,7820,2012-AL-07,232520,306558,2012,Alabama,TerriASewell,democrat,FALSE,AL-07,0.758486159,232520,Terri A. Sewell,73835,Don Chamberlain,0.758486159,0.24085165,TerriASewell,ArturDavis,ArturDavis,ArturDavis,ArturDavis,1,EarlFHilliard,EarlFHilliard,EarlFHilliard,EarlFHilliard,EarlFHilliard,1,democrat,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,10,5,0,0,0,0,4,3,2,1,0.153045823,0.160774349,0.128950858,0.171934477,0.257901715,0.274951781,0.834007034,0.841840777,0.864873016,0.823021873,0.741401575,0.724316992,1
173,8255,2014-AL-07,133687,135899,2014,Alabama,TerriASewell,democrat,FALSE,AL-07,0.983723206,133687,Terri A. Sewell,0,0,0.983723206,0,TerriASewell,TerriASewell,ArturDavis,ArturDavis,ArturDavis,1,ArturDavis,EarlFHilliard,EarlFHilliard,EarlFHilliard,EarlFHilliard,1,democrat,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,0,0,10,5,0,0,0,0,4,3,2,1,0.103160686,0.13773657,0.128950858,0.171934477,0.120425825,0.24085165,0.855518379,0.888643054,0.863197206,0.822175452,0.871104682,0.758486159,1
174,8690,2016-AL-07,229330,233028,2016,Alabama,TerriASewell,democrat,FALSE,AL-07,0.984130662,229330,Terri A. Sewell,0,0,0.984130662,0,TerriASewell,TerriASewell,TerriASewell,ArturDavis,ArturDavis,1,ArturDavis,ArturDavis,EarlFHilliard,EarlFHilliard,EarlFHilliard,1,democrat,1,1,0,0,0,0,0,0,0,3,3,3,2,3,0,1,0,0,10,5,0,0,0,0,4,3,2,1,0.103160686,0.108951949,0.128950858,0.080283883,0,0,0.882800913,0.887383897,0.862664255,0.908780009,0.983926934,0.983723206,1
