Unnamed: 0,yr_district_id,winner_votes,totalvotes,year,state,winner,winner_party,writein,district_id,winner_voteshare,total_dem_votes,total_rep_votes,total_dem_vote_share,total_rep_vote_share,L1_winner,L2_winner,L3_winner,L4_winner,L5_winner,dL1_winner,dL2_winner,dL3_winner,dL4_winner,dL5_winner,incumbent_party,incumbent_L5_races,incumbent_L4_races,incumbent_L3_races,incumbent_L2_races,rep_L1_wins,rep_L5_wins,rep_L4_wins,rep_L3_wins,rep_L2_wins,dem_L1_wins,dem_L5_wins,dem_L4_wins,dem_L3_wins,dem_L2_wins,rep_L1_voteshare,rep_L5_voteshare,rep_L4_voteshare,rep_L3_voteshare,rep_L2_voteshare,dem_L1_voteshare,dem_L5_voteshare,dem_L4_voteshare,dem_L3_voteshare,dem_L2_voteshare,target,top_dem_votes,top_dem_candidate,top_rep_votes,top_rep_candidate,dem_incumbent_in_race,rep_incumbent_in_race,flipped,dmargin_45_55
8253,2014-AL-05,115338,154974,2014,Alabama,MoBrooks,republican,False,AL-05,0.744240969,0,115338,0.0,0.744240969,MoBrooks,MoBrooks,ParkerGriffith,BudCramer,BudCramer,1,1,0,0,0,republican,2,2,2,2,1,2,2,2,2,0,3,2,1,0,0.649466345,0.39538365799999997,0.426937344,0.569249792,0.614169792,0.349380177,0.599429926,0.5668655220000001,0.428304179,0.38483623200000006,0,,None,115338.0,MoBrooks,0,1,0,0
8688,2016-AL-05,205647,308326,2016,Alabama,MoBrooks,republican,False,AL-05,0.6669791070000001,102234,205647,0.331577616,0.6669791070000001,MoBrooks,MoBrooks,MoBrooks,ParkerGriffith,BudCramer,1,1,1,0,0,republican,3,3,3,2,1,3,3,3,2,0,2,1,0,0,0.744240969,0.490398069,0.612997586,0.657526851,0.696853657,0.0,0.45349241799999995,0.321228134,0.256557488,0.17469008800000002,0,102234.0,WillBoydJr,205647.0,MoBrooks,0,1,0,0
9123,2018-AL-05,159063,260673,2018,Alabama,MoBrooks,republican,False,AL-05,0.610201287,0,159063,0.0,0.610201287,MoBrooks,MoBrooks,MoBrooks,MoBrooks,ParkerGriffith,1,1,1,1,0,republican,4,4,3,2,1,4,4,3,2,0,1,0,0,0,0.6669791070000001,0.623793891,0.659889915,0.6868954740000001,0.705610038,0.331577616,0.32329803100000004,0.27531252,0.226985931,0.165788808,0,,None,159063.0,MoBrooks,0,1,0,0
7819,2012-AL-06,219262,308102,2012,Alabama,SpencerBachus,republican,False,AL-06,0.711653933,88267,219262,0.286486294,0.711653933,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,1,1,1,1,republican,5,4,3,2,1,5,4,3,2,0,0,0,0,0,0.980531514,0.9853986859999999,0.982423945,0.980574567,0.979238278,0.0,0.0,5.83e-16,3.7e-17,0.0,0,88267.0,PennyHBailey,219262.0,SpencerBachus,0,1,0,0
8254,2014-AL-06,135945,178449,2014,Alabama,GaryPalmer,republican,False,AL-06,0.7618143,42291,135945,0.236992082,0.7618143,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,0,0,0,0,0,republican,0,0,0,0,1,5,4,3,2,0,0,0,0,0,0.711653933,0.928269942,0.9133444079999999,0.890043496,0.846092724,0.286486294,0.057297259,0.07162157400000001,0.09549543099999999,0.143243147,0,42291.0,MarkLester,135945.0,GaryPalmer,0,0,0,0
8689,2016-AL-06,245313,329306,2016,Alabama,GaryPalmer,republican,False,AL-06,0.744939357,83709,245313,0.254198223,0.744939357,GaryPalmer,SpencerBachus,SpencerBachus,SpencerBachus,SpencerBachus,1,0,0,0,0,republican,1,1,1,1,1,5,4,3,2,0,0,0,0,0,0.7618143,0.883038387,0.857986197,0.817999916,0.736734117,0.236992082,0.104695675,0.130869594,0.17449279199999998,0.261739188,0,83709.0,DavidJPutnam,245313.0,GaryPalmer,0,1,0,0
9124,2018-AL-06,192542,278328,2018,Alabama,GaryPalmer,republican,False,AL-06,0.69178092,85644,192542,0.30770889,0.69178092,GaryPalmer,GaryPalmer,SpencerBachus,SpencerBachus,SpencerBachus,1,1,0,0,0,republican,2,2,2,2,1,5,4,3,2,0,0,0,0,0,0.744939357,0.8353768290000001,0.799734776,0.739469197,0.753376829,0.254198223,0.15553532,0.19441915,0.259225533,0.24559515199999998,0,85644.0,DannerKline,192542.0,GaryPalmer,0,1,0,0
7820,2012-AL-07,232520,306558,2012,Alabama,TerriASewell,democrat,False,AL-07,0.758486159,232520,73835,0.758486159,0.24085165,TerriASewell,ArturDavis,ArturDavis,ArturDavis,ArturDavis,1,0,0,0,0,democrat,1,1,1,1,0,0,0,0,0,1,5,4,3,2,0.274951781,0.11942672,0.131094366,0.091650594,0.13747589,0.724316992,0.875022295,0.8626794309999999,0.900335302,0.85528973,1,232520.0,TerriASewell,73835.0,DonChamberlain,1,0,0,0
8255,2014-AL-07,133687,135899,2014,Alabama,TerriASewell,democrat,False,AL-07,0.983723206,133687,0,0.983723206,0.0,TerriASewell,TerriASewell,ArturDavis,ArturDavis,ArturDavis,1,1,0,0,0,democrat,2,2,2,2,0,0,0,0,0,1,5,4,3,2,0.24085165,0.153045823,0.128950858,0.171934477,0.257901715,0.758486159,0.841840777,0.864873016,0.823021873,0.741401575,1,133687.0,TerriASewell,,None,1,0,0,0
8690,2016-AL-07,229330,233028,2016,Alabama,TerriASewell,democrat,False,AL-07,0.984130662,229330,0,0.984130662,0.0,TerriASewell,TerriASewell,TerriASewell,ArturDavis,ArturDavis,1,1,1,0,0,democrat,3,3,3,2,0,0,0,0,0,1,5,4,3,2,0.0,0.103160686,0.128950858,0.171934477,0.120425825,0.983723206,0.8886430540000001,0.8631972059999999,0.8221754520000001,0.871104682,1,229330.0,TerriASewell,,None,1,0,0,0
9125,2018-AL-07,185010,189163,2018,Alabama,TerriASewell,democrat,False,AL-07,0.978045389,185010,0,0.978045389,0.0,TerriASewell,TerriASewell,TerriASewell,TerriASewell,ArturDavis,1,1,1,1,0,democrat,4,4,3,2,0,0,0,0,0,1,5,4,3,2,0.0,0.103160686,0.128950858,0.080283883,0.0,0.984130662,0.887383897,0.862664255,0.9087800090000001,0.9839269340000001,1,185010.0,TerriASewell,,None,1,0,0,0
7821,2012-AR-01,138800,246843,2012,Arkansas,RickCrawford,republican,False,AR-01,0.562300734,101616,145227,0.411662474,0.588337526,RickCrawford,MarionBerry,MarionBerry,MarionBerry,MarionBerry,1,0,0,0,0,republican,1,1,1,1,1,1,1,1,1,0,4,3,2,1,0.517865079,0.298236023,0.289885538,0.275073174,0.25893253899999996,0.48099613399999996,0.7015362190000001,0.709829765,0.724547231,0.740498067,0,96601.0,ScottEllington,138800.0,RickCrawford,0,1,0,0
8256,2014-AR-01,124139,196256,2014,Arkansas,RickCrawford,republican,False,AR-01,0.632536075,63555,132701,0.323837233,0.676162767,RickCrawford,RickCrawford,MarionBerry,MarionBerry,MarionBerry,1,1,0,0,0,republican,2,2,2,2,1,2,2,2,2,0,3,2,1,0,0.588337526,0.34957593600000003,0.35338926200000004,0.368734202,0.5531013029999999,0.411662474,0.6501963070000001,0.646326042,0.630886203,0.446329304,0,63555.0,JackieMcPherson,124139.0,RickCrawford,0,1,0,0
8691,2016-AR-01,183866,241047,2016,Arkansas,RickCrawford,republican,False,AR-01,0.762780703,0,241047,0.0,1.0,RickCrawford,RickCrawford,RickCrawford,MarionBerry,MarionBerry,1,1,1,0,0,republican,3,3,3,2,1,3,3,3,2,0,2,1,0,0,0.676162767,0.417943963,0.445591343,0.5941217910000001,0.632250147,0.323837233,0.58182828,0.55412396,0.405498614,0.36774985299999996,0,,None,183866.0,RickCrawford,0,1,0,0
9126,2018-AR-01,138757,201245,2018,Arkansas,RickCrawford,republican,False,AR-01,0.689492907,57907,143338,0.287743795,0.712256205,RickCrawford,RickCrawford,RickCrawford,RickCrawford,MarionBerry,1,1,1,1,0,republican,4,4,3,2,1,4,4,3,2,0,1,0,0,0,1.0,0.556473074,0.6955913429999999,0.7548334309999999,0.8380813840000001,0.0,0.44329916799999997,0.30412396,0.24516656899999997,0.161918616,0,57907.0,ChintanDesai,138757.0,RickCrawford,0,1,0,0
7822,2012-AR-02,158175,286598,2012,Arkansas,TimGriffin,republican,False,AR-02,0.551905456,121722,164876,0.42471336200000004,0.575286638,TimGriffin,VicSnyder,VicSnyder,VicSnyder,VicSnyder,1,0,0,0,0,republican,1,1,1,1,1,1,1,1,1,0,4,3,2,1,0.579036481,0.278409911,0.348012389,0.324585623,0.289518241,0.39974010200000004,0.7027065440000001,0.646078752,0.66754072,0.6986712740000001,0,113156.0,HerbRule,158175.0,TimGriffin,0,1,0,0
8257,2014-AR-02,123073,237330,2014,Arkansas,FrenchHill,republican,False,AR-02,0.518573295,103477,133663,0.436004719,0.5631947079999999,TimGriffin,TimGriffin,VicSnyder,VicSnyder,VicSnyder,0,0,0,0,0,republican,0,0,0,0,1,2,2,2,2,0,3,2,1,0,0.575286638,0.39346723899999997,0.387260877,0.38477437299999995,0.57716156,0.42471336200000004,0.601805674,0.606833881,0.60735197,0.41222673200000004,0,103477.0,PatrickHenryHays,123073.0,FrenchHill,0,0,0,1
8692,2016-AR-02,176472,302464,2016,Arkansas,FrenchHill,republican,False,AR-02,0.583447948,111347,190814,0.36813306700000004,0.630865161,FrenchHill,TimGriffin,TimGriffin,VicSnyder,VicSnyder,1,0,0,0,0,republican,1,1,1,1,1,3,3,3,2,0,2,1,0,0,0.5631947079999999,0.422447643,0.429379457,0.572505942,0.5692406729999999,0.436004719,0.5726680479999999,0.564515157,0.420152728,0.43035904,0,111347.0,DianneCurry,176472.0,FrenchHill,0,1,0,0
9127,2018-AR-02,132125,253453,2018,Arkansas,FrenchHill,republican,False,AR-02,0.521299807,116135,137318,0.458211187,0.5417888129999999,FrenchHill,FrenchHill,TimGriffin,TimGriffin,VicSnyder,1,1,0,0,0,republican,2,2,2,2,1,4,4,3,2,0,1,0,0,0,0.630865161,0.46967659799999995,0.587095747,0.589782169,0.597029935,0.36813306700000004,0.525238739,0.40714781299999997,0.409617049,0.402068893,0,116135.0,ClarkeTucker,132125.0,FrenchHill,0,1,0,1
7823,2012-AR-03,186467,245660,2012,Arkansas,SteveWomack,republican,False,AR-03,0.759045022,39318,206342,0.160050476,0.8399495240000001,SteveWomack,JohnBoozman,JohnBoozman,JohnBoozman,JohnBoozman,1,0,0,0,0,republican,1,1,1,1,1,5,4,3,2,0,0,0,0,0,0.724350755,0.742812012,0.681270948,0.710641889,0.7548028929999999,0.275649245,0.249801615,0.312252019,0.28935811100000003,0.245197107,0,39318.0,RebekahJKennedy,186467.0,SteveWomack,0,1,0,0
8258,2014-AR-03,151630,190935,2014,Arkansas,SteveWomack,republican,False,AR-03,0.7941446040000001,0,190935,0.0,1.0,SteveWomack,SteveWomack,JohnBoozman,JohnBoozman,JohnBoozman,1,1,0,0,0,republican,2,2,2,2,1,5,4,3,2,0,0,0,0,0,0.8399495240000001,0.7130066629999999,0.7429687979999999,0.783185103,0.78215014,0.160050476,0.28181171,0.257031202,0.216814897,0.21784986,0,,None,151630.0,SteveWomack,0,1,0,0
8693,2016-AR-03,217192,280907,2016,Arkansas,SteveWomack,republican,False,AR-03,0.77318116,0,280907,0.0,1.0,SteveWomack,SteveWomack,SteveWomack,JohnBoozman,JohnBoozman,1,1,1,0,0,republican,3,3,3,2,1,5,4,3,2,0,0,0,0,0,1.0,0.794375038,0.8373888270000001,0.85476676,0.9199747620000001,0.0,0.205624962,0.162611173,0.14523324,0.080025238,0,,None,217192.0,SteveWomack,0,1,0,0
