,B01001_002E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_002E,B03003_003E,B05002_002E,B05002_003E,B05002_004E,B05002_009E,B05002_013E,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B07001_017E,B07001_033E,B07001_049E,B07001_065E,B07001_081E,B08101_001E,B08101_025E,B08101_033E,B08101_049E,B14001_002E,B14001_008E,B14001_009E,B15002_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B17001_002E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B21001_002E,B21001_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B24020_001E,B24020_112E,B24020_131E,B24020_263E,B24020_282E,B25001_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25027_001E,B25027_002E,B25027_010E,B25063_001E,B25064_001E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25088_001E,year
IA-01,377511,25327,25361,14638,11394,5841,6659,16647,22131,24980,21584,22299,24687,27449,26685,9492,13714,8144,9585,12557,10032,6751,7047,389310,24816,24113,15736,12509,8111,5284,15161,21599,23999,23135,21006,23377,27825,26249,10944,13554,8923,8655,15528,12970,9773,13429,766821,704857,28346,1968,9864,106,8506,13174,739222,27599,739846,586290,150287,3269,26975,508103,42780,178736,165615,80868,40104,656222,60604,23854,14262,2857,386858,2176,16530,16899,199236,48552,7036,508103,35709,12128,3481,3178,45159,16657,2352,2308,87534,304696,18794,13633,15461,16757,15630,19302,15589,16178,13654,27439,34959,41779,24756,12952,10502,7311,52237,13432,32684,52394,78477,151794,252292,52678,536937,609104,413332,413238,392997,20241,94,195772,269430,26121,40367,1026,11007,334674,304696,29978,304696,223383,81313,223383,136964,86419,81313,653,223383,6319,2341,2260,2505,2048,2097,1706,4707,6630,8726,9371,12311,11586,30746,25806,25935,17224,20184,12937,10188,3317,2478,552,1409,824,2013
IA-02,383281,24411,25533,16326,11922,6138,6962,17106,26155,25349,21960,22529,24282,27717,25294,10318,14770,7382,10369,12583,8543,6539,6448,390791,24650,23495,14906,12114,5851,7068,16253,24437,24412,22534,20614,24106,28111,27268,11147,13930,9951,9860,13364,10884,9524,13546,774072,701132,31376,1417,17156,407,10188,12396,733452,40620,741008,527690,208112,5206,33064,513926,43806,164821,161847,92017,51435,650770,69168,24502,18766,2521,375802,7860,17385,13975,208183,52083,15059,513926,43095,16015,4486,4662,48922,18106,4318,3848,103748,310364,21752,16409,16718,19022,15750,17034,16855,17611,11468,26160,31772,41431,26309,12707,9732,9634,50855,11917,30710,50667,78705,160475,281322,53252,543413,618603,404837,404162,384744,19418,675,213766,260113,23542,40175,997,9903,336722,310364,26358,310364,213532,96832,213532,129545,83987,96832,666,213532,5812,2874,2044,2326,2265,2376,3127,7264,9108,9213,13362,11983,11569,23404,21422,19819,12826,19012,11775,13016,4876,2277,893,889,791,2013
IA-03,388018,29636,26624,16030,9858,5359,3927,14118,27370,28660,24661,28349,25714,26705,25286,10603,10893,8418,7638,11642,7542,5565,5271,400570,29230,25650,15213,10152,3880,3694,16257,27695,28886,24551,27672,25550,27586,25946,9838,13163,9499,8740,12114,9835,8714,10508,788588,706117,32126,1698,21857,101,10249,16440,737038,51550,736168,532051,199216,4901,52420,524614,39004,154229,167108,117990,46283,644800,77091,30123,21842,3006,405290,2009,8894,14445,202147,36996,9177,524614,54178,13625,6414,3326,63812,17660,3249,2009,89857,310669,17918,14372,11548,14300,14029,18320,14774,15135,13655,26855,35840,42967,26127,17094,13373,14362,57593,14251,36029,57723,86413,184838,329062,48481,542560,612341,435192,434374,412394,21980,818,177149,300671,25194,31046,815,6867,333462,310669,22793,310669,215839,94830,215839,147103,68736,94830,766,215839,4897,2294,1387,1160,1639,1870,1072,3651,5967,6185,9215,9394,11186,28048,21892,27463,16632,22372,14740,13314,5636,3556,1442,827,963,2013
IA-04,379960,26624,24285,16061,12600,9255,6567,17800,20922,22221,21170,21089,23427,27067,26382,10527,14707,7599,9352,13370,10968,8275,7552,380975,24207,21885,15632,11535,6990,6269,15399,19354,21580,19988,20405,22316,27572,28507,10348,12293,8932,9733,14565,12875,11382,17149,760935,711802,10582,2547,14554,1026,9598,10826,713779,47156,724272,554608,167428,2236,36663,501627,46723,172559,169533,79313,33499,633397,61626,33302,20780,4142,379558,4938,14719,19082,206109,55762,8143,501627,35910,9930,2936,3968,43403,12215,2467,1983,97988,310480,20822,18921,17339,18371,16348,16337,17535,16351,14459,27845,36268,38488,22743,10766,10089,7798,49497,12069,30063,49439,74317,154857,274552,54191,533583,608724,404498,404230,385956,18274,268,204226,264783,31424,43497,1648,11272,344749,310480,34269,310480,222608,87872,222608,121822,100786,87872,627,222608,5061,2403,2313,3277,3120,4131,3857,9548,10363,14944,15441,16038,13629,28843,19933,19034,11775,15866,10216,6198,2516,2126,414,1562,676,2013
KS-01,366960,26996,22550,15205,13583,8369,6637,21255,26731,23673,20979,20126,18370,23919,25436,8063,11299,5946,8105,11971,9693,6138,5853,355503,24129,21455,13670,12346,6737,6247,17314,22316,20980,19294,17629,19512,23942,23869,8135,10696,7540,8373,13775,10445,10543,11865,722463,636914,21543,4669,11194,742,25861,21540,614618,107845,669286,456263,206796,6227,53177,455216,54294,136465,155830,72559,36068,595474,55374,33497,23578,5055,349271,870,12494,15457,197396,51621,7211,455216,34270,11571,4276,2610,38289,13422,2069,2120,107739,280113,21882,13485,14559,18743,17256,19561,16580,17135,13698,25030,30583,34117,17290,7242,6634,6318,45273,11696,29102,45489,68731,147214,272455,51141,486078,567250,372941,362456,344554,17902,10485,194309,240392,34511,36292,934,7590,315746,280113,35633,280113,184951,95162,184951,94718,90233,95162,666,184951,7624,3150,3101,3968,2711,3635,3659,8683,9260,11754,11300,12646,10406,19435,17613,15879,9909,12907,6409,5809,2550,1414,670,459,672,2013
KS-02,354544,24706,24572,14245,12476,5336,6418,17010,23422,23784,20999,21582,21146,25024,23391,9751,12013,7273,8563,12029,8113,5881,5513,361241,22685,23489,13923,13252,5745,5947,14940,20273,23615,20787,20641,20939,25285,24576,9881,12416,8912,8913,13158,10189,8237,11679,715785,628690,31793,9893,9184,361,6860,29004,671326,44459,691186,456121,230142,4923,24599,467985,43063,145743,152700,76145,50334,587405,66862,25387,23381,4000,333370,2811,12444,10514,195150,49407,12506,467985,36893,14616,3582,4352,39252,21665,2942,3177,105331,276876,20600,18209,15467,17534,16563,14675,12853,12641,12431,25715,29041,34635,20643,10877,8920,6072,48926,11334,28480,48546,74248,146165,239118,54226,493093,568199,364712,362922,339530,23392,1790,203487,234384,23529,29193,549,6726,314355,276876,37479,276876,185268,91608,185268,109188,76080,91608,711,185268,6083,2807,2899,4255,3275,4069,3870,7615,8396,9389,11948,11535,8128,19152,15351,16857,12939,15609,7906,7735,2687,1734,618,411,778,2013
KS-03,362749,27910,28044,15540,9618,4386,2975,13360,24545,28070,25357,24796,25118,25137,24088,7571,10306,6583,6405,10399,6188,4557,4168,375759,28056,25394,15157,8026,2607,3586,14247,25595,28229,25885,24817,24796,26965,23578,9426,13253,6802,6978,13050,8063,6564,8907,738508,602586,64789,3066,30829,313,15410,21515,653141,85367,667562,321631,341535,4396,70946,486196,41320,89881,137753,137001,80241,602470,77481,16105,29092,3318,373134,2045,3905,17572,203082,35511,11823,486196,67005,25511,9890,4896,69996,30837,6221,2886,73746,281818,13595,9504,9147,13110,13079,13581,10931,15240,11982,21350,28740,37110,28987,15283,21322,18857,64266,16574,39786,64704,99485,225200,414254,41651,502948,564424,403573,403171,379858,23313,402,160851,269249,16261,19069,700,5689,300939,281818,19121,281818,185080,96738,185080,131811,53269,96738,888,185080,4365,864,1566,1068,880,876,504,1059,2238,2470,4320,4110,4105,13046,14979,22607,19034,27536,19553,20803,8377,5791,1984,2945,1291,2013
KS-04,356228,26609,26192,14917,9820,4988,4820,16299,25019,24459,21920,20045,21419,25182,23844,9156,11117,8202,6122,10135,7104,6082,5672,360973,23756,27182,14856,9328,4828,4452,14018,24254,22593,21957,20323,21078,25642,23327,10722,12137,8123,7498,12052,9120,8693,10051,717201,607840,50121,6610,22012,0,7109,23509,632448,84753,667750,468279,193406,6065,49451,463048,47574,126337,160069,88713,40355,600679,72730,16470,13684,2827,333238,1337,5557,11863,201430,45523,9455,463048,42694,13436,3643,1965,46019,17854,1984,1473,106542,274922,22173,14964,14819,16706,15483,15081,15350,13941,12805,22254,29359,32143,21481,11997,8503,7863,48560,11132,29332,48570,75092,154159,258444,50284,478513,551270,361337,358533,335636,22897,2804,189933,237818,27098,31103,1915,7432,308715,274922,33793,274922,180438,94484,180438,109077,71361,94484,696,180438,5132,2649,1295,2826,2622,2731,1998,5883,8439,12543,11174,10887,9597,20747,22003,17320,10449,12378,7459,6733,2776,2108,253,436,828,2013
KY-01,357081,22207,26636,14094,11773,5648,5151,15215,22188,21038,21563,22455,23423,24824,23978,10397,11758,7689,10230,15148,9614,7075,3764,366266,21672,23488,13536,10700,4456,5908,11930,21228,21906,18568,24565,23905,25860,24623,10632,12785,9399,10846,17294,10993,9189,10167,723347,650850,49788,1035,3650,756,3096,14172,704761,18586,711990,508332,199905,3753,11357,487104,91430,178589,141465,43748,31872,612034,52374,27110,21799,1723,289158,1578,9222,10205,174734,37058,4885,487104,21296,7774,3517,1613,22452,15794,2224,950,141016,279371,32675,22606,19568,19728,17586,16461,15203,15944,13380,24114,24972,24697,15128,8371,4916,4022,38369,8266,22162,38304,59892,127023,211994,50362,501016,577086,321996,315489,287944,27545,6507,255090,198132,23842,36716,1077,10065,330984,279371,51613,279371,198675,80696,198675,103209,95466,80696,567,198675,7032,5187,3665,4369,4813,6081,3062,11418,12584,15300,13662,12429,11746,20004,14299,15780,9902,11389,6138,5481,1868,1434,510,522,545,2013
KY-02,363247,25544,25533,14434,11031,6210,6418,15969,22375,23027,20676,23890,24645,27114,25498,8973,11786,8094,9128,12616,8072,5585,4035,374049,23426,25588,13800,10846,4371,5107,13634,23635,23189,21166,25288,24695,28247,27418,8908,12884,8322,9126,14189,10602,9357,7355,737296,660967,41665,2070,8327,216,7817,16234,713069,24227,716203,520541,187210,8452,21093,489895,70102,182100,140760,56450,40483,606439,69998,30880,17535,3318,322720,472,5099,9306,190199,43405,7822,489895,26876,12892,3384,1835,29574,18436,2727,1209,122473,280248,22950,17199,19759,15447,16907,14340,15005,14484,13513,22272,34017,33884,19336,9010,5722,6403,46471,10744,27433,46642,70654,136470,222085,60438,498049,581564,358359,353365,325939,27426,4994,223205,225295,23112,39304,489,10385,318326,280248,38078,280248,197439,82809,197439,117649,79790,82809,648,197439,5330,2488,2745,2600,3422,1748,2017,4837,6592,7971,10424,11968,11239,27111,21754,20957,12318,17289,9698,8307,2965,1891,814,954,730,2013
KY-03,356603,22636,24475,14595,8199,4664,5629,14890,26752,25534,23619,23047,23706,25548,24507,9276,12070,7953,7895,9539,6884,5731,5229,382444,22289,23319,13138,8438,6440,3974,14585,27658,26763,22236,25933,23879,27781,26940,10371,13989,8625,9525,12846,10354,10785,9382,739047,539475,156359,771,16625,394,3544,21879,703962,35085,689087,512091,172138,4858,49960,504357,59112,139788,152486,88502,64469,620763,72866,17995,14203,4147,346756,8957,6822,9215,183997,41803,11107,504357,44683,18761,6752,4133,43819,26090,5110,3623,116814,303418,24266,20127,17307,18448,16279,18067,14765,16512,13505,25820,28396,35107,22232,11138,10220,11229,46918,10528,28057,47032,74719,171377,317936,49633,520942,589648,384607,384006,354046,29960,601,205041,244954,16701,29107,691,8558,332786,303418,29368,303418,185018,118400,185018,122343,62675,118400,737,185018,4444,1356,1361,569,611,1167,696,2727,2857,4881,4591,9664,9915,24134,24904,20228,15284,17846,13321,14254,4513,3433,1130,1132,923,2013
KY-04,365066,23813,28882,15149,9157,3995,4329,13544,22031,24330,23055,26907,25956,28131,24872,8849,13165,7978,8223,11145,7466,4631,3678,371227,27659,23905,14097,8672,5292,4254,11111,22926,24864,25078,24107,26116,27481,26020,9026,13590,8554,9181,12998,9056,6393,7982,736293,678842,25175,537,8821,421,7917,14580,714128,22165,716678,457684,253993,5001,19615,493789,55780,158276,149989,82338,47406,614064,55271,32594,23365,2445,334738,4179,5633,10857,184658,32368,7023,493789,41554,14681,5744,2458,40784,20013,3256,1254,101001,272731,16926,14827,13885,14562,11941,13126,11334,14553,13448,24139,28778,35276,23607,12625,10747,12957,54683,12850,33436,54649,84165,177531,309435,48814,505186,571968,367447,367304,339913,27391,143,204521,238182,23131,31534,786,6336,303324,272731,30593,272731,195665,77066,195665,132897,62768,77066,729,195665,6682,3317,1320,888,1875,2320,1510,3741,4975,5468,7274,8252,8208,23920,18329,20819,13321,19524,13723,15602,6779,5047,1446,1325,947,2013
KY-05,356030,22242,23405,14688,9788,5827,5760,11519,21745,22620,25057,22972,25216,25962,25048,8564,14793,9016,10742,12286,7040,5589,4668,358699,21366,20906,12508,8165,6637,4115,11618,19734,20835,21530,24313,26210,27007,27008,10496,14270,9967,10916,14404,10249,7995,7744,714729,692710,9330,1388,3000,114,1323,6864,706001,8728,708001,570668,135110,2223,6728,493996,125795,185092,117097,35982,30030,621868,48931,27636,8558,714,226338,824,5191,5352,164242,34149,5153,493996,16414,6925,2951,1567,19568,14447,2693,1447,184181,277070,44006,27312,23102,22682,16320,17936,14828,13681,11107,20773,21543,21602,11847,4986,3077,2268,31348,6824,17628,31258,51455,112369,191583,39435,517834,576733,262871,262715,232722,29993,156,313862,166602,21977,21923,535,5206,324667,277070,47597,277070,198197,78873,198197,87211,110986,78873,533,198197,12684,7627,6916,6519,8535,8931,5956,12511,13692,11799,13746,11963,7028,17733,11360,13053,5713,9654,5268,3213,1094,2193,245,764,435,2013
KY-06,365040,25030,23429,13933,12336,8842,6692,17791,25659,24583,25549,25008,23987,24765,21448,7699,12638,8975,6642,11124,5711,3958,4631,379543,23103,24440,13783,12718,6596,9407,17706,24195,25819,27147,22201,25243,26024,24500,9192,13335,9834,8346,11859,9781,6835,7824,744583,631730,67847,1633,12764,229,16380,14000,710283,34300,704320,511149,187620,5551,40263,484512,67528,135186,136052,85590,60156,590436,86444,36313,17747,5616,346966,3616,10182,14826,207418,61050,13181,484512,42788,17291,5428,4277,42802,24903,4577,3680,135150,292785,30706,15835,18460,14865,16858,15763,14698,15850,12092,23192,31362,33413,19268,11831,9555,9037,46167,9426,27028,46579,72976,159232,281514,44480,531588,594774,384779,384247,353552,30695,532,209995,237998,22765,31346,782,7868,326547,292785,33762,292785,174314,118471,174314,113538,60776,118471,729,174314,5321,2348,2474,892,1155,1644,1315,3723,4370,4353,6081,6961,8739,21200,19682,18738,12993,16868,11787,11945,4759,3993,1230,1743,841,2013
LA-01,379386,26662,25296,15342,9161,5288,4649,15544,28556,25902,24858,21980,27081,26725,26856,10658,11501,8771,10375,12577,8465,5763,4182,401748,26104,23671,14712,10677,5358,5374,15951,26613,28748,22536,25149,27325,29271,28876,10605,13503,9320,10904,14906,10282,9526,8129,781134,633322,98950,9854,16213,25,11020,11750,712497,68637,730869,580711,146387,3771,50265,529943,77170,158306,148510,92281,53676,669364,56657,27455,16664,2484,361578,2600,6101,10269,195828,41548,8601,529943,42308,13358,9828,4055,49973,18553,5283,2599,103791,295271,22313,13634,15639,13829,14901,14613,15155,13283,10868,23884,29370,37968,22905,13354,15376,18179,54521,11867,32441,54993,86784,197820,346710,42942,556809,621959,396156,393962,365687,28275,2194,225803,262114,33992,29059,1153,2180,330578,295271,35307,295271,205339,89932,205339,120205,85134,89932,904,205339,6177,2171,2683,1682,938,3010,341,2975,3224,3011,3693,5874,6005,15051,18917,25365,15790,28480,20216,19914,8397,7528,2053,1844,922,2013
LA-02,377520,25788,23174,14622,10324,5310,7006,18837,30214,30390,25214,22838,24541,26722,23734,10021,13625,6695,8904,9175,6075,4344,2689,407408,26516,24078,13423,10025,7058,5413,20098,33069,30412,26249,25612,25293,28502,28127,10214,13985,9109,8884,11825,9419,7793,6240,784928,246703,489500,1287,22098,338,13298,11704,739212,45716,736630,615371,116727,4532,48298,519914,98600,165414,142202,71403,42295,667375,68256,23186,15120,2072,332320,14567,8053,7915,195685,41785,10582,519914,31326,10153,5289,3562,40077,17303,3833,2155,203181,302127,42719,26316,24417,20302,17958,15751,14916,15700,11365,22465,23875,25949,16863,9018,7716,6797,36032,6938,19461,35782,60595,140999,248503,37923,565429,623764,379117,378484,340867,37617,633,244647,242411,30389,28920,1286,3558,354244,302127,52117,302127,161736,140391,161736,90515,71221,140391,829,161736,4446,2192,1841,1050,1291,913,577,2872,3855,4982,6996,6641,9585,20417,18023,21273,13545,14259,9706,8576,3841,2601,1128,1126,780,2013
LA-03,375198,27942,26360,15889,10701,6246,5689,17026,26401,25994,23006,22338,24381,27512,26001,9383,10888,8414,7574,9561,7632,4848,3942,394133,28734,24826,15525,10617,7588,5981,15335,27368,26213,22785,23707,26534,30169,27246,9484,12391,7127,9758,11799,10245,7940,7304,769331,543668,190709,1808,9272,0,5154,18720,743330,26001,747797,638308,103725,5764,21534,497945,95870,169609,132878,67405,32183,646585,71629,25560,12099,3629,341462,919,5905,6957,191276,35324,3396,497945,30490,8301,3139,2060,36915,14861,2167,1655,125639,291285,28287,18755,19521,18070,15308,15177,16732,11590,11682,20772,26746,32466,22721,12592,10214,10652,45858,9624,25874,45792,76126,162386,277300,45207,531490,599805,377629,377198,348080,29118,431,222176,245660,32756,32433,603,3603,324360,291285,33075,291285,204036,87249,204036,102308,101728,87249,699,204036,10653,4124,4594,3455,3730,5064,2490,7322,8401,10609,9927,11586,7674,19861,15038,18134,11003,19178,11931,11186,3719,2936,1029,392,572,2013
LA-04,373738,27142,25309,16064,10897,7125,5152,18891,25414,27016,21647,23634,22540,24972,25004,10083,10497,8065,8299,11575,8788,5657,4526,388779,26261,26059,14238,9955,4853,6179,15102,27129,24867,21745,25060,23183,26427,25737,9623,13729,8217,8822,15178,10845,8533,9321,762517,470751,257076,7180,6366,310,7375,13459,732776,29741,743923,564657,171904,7362,18594,496133,81584,177100,136197,69111,32141,646630,55156,27127,19392,3985,310663,2593,6606,5990,184292,31776,6446,496133,30534,9237,3331,1735,38577,13725,2402,1711,157598,282896,31778,21541,18615,21376,18369,14973,13402,13807,12080,20477,24995,30284,17147,6665,9875,7512,40403,8463,22722,40334,66929,149942,264748,57020,507014,595392,339449,329196,306427,22769,10253,255943,221877,29201,26474,1269,4921,339222,282896,56326,282896,187101,95795,187101,94089,93012,95795,692,187101,9424,6859,4462,4336,3426,5084,2623,8195,8758,8064,10792,10652,8353,16420,12648,15894,11201,14334,9932,7654,4053,2757,584,596,566,2013
LA-05,374021,27365,27406,14991,11187,6164,4943,17252,27328,26422,20900,24701,21868,26597,25750,9207,12103,7994,7765,12070,7811,5378,3944,380110,26140,25770,13439,9890,5852,6512,15321,24323,25825,21656,23667,23034,24287,26503,8488,13889,8475,8546,15598,11334,8886,7963,754131,465229,269012,3461,4730,0,2880,8819,736414,17717,741498,608508,128930,4060,12633,492312,98220,188559,124138,56490,24905,652005,53670,26767,11016,597,280424,3282,2845,6320,186034,33381,5315,492312,23732,6524,2472,2108,32758,11233,1471,1097,175044,271501,36893,23794,20076,23954,15831,17294,10564,11829,8516,20034,23250,23685,15058,7749,6257,6717,34243,7227,19619,34925,61098,135390,226388,45027,523977,588621,319039,318610,286781,31829,429,269582,205956,25967,26833,537,3054,324200,271501,52699,271501,177506,93995,177506,84229,93277,93995,621,177506,8972,4519,3616,5176,4393,7784,2781,9375,8976,8568,10333,8752,5894,15987,11655,15515,10370,11668,10592,7531,1776,1704,680,889,502,2013
LA-06,376601,27007,27224,15135,10982,7323,9189,16541,26781,28039,24194,22844,23214,27136,24049,8401,12481,6918,8175,11253,6913,4191,3945,396828,27348,26890,15224,12208,6776,7474,16799,29693,26375,25615,23912,24633,29018,27384,9800,12285,7372,8469,12920,8593,6766,7357,773429,547623,187668,3822,15548,0,5299,13469,742621,30808,742194,596690,140813,4691,31235,498726,62192,160034,134163,96657,45680,659252,52784,30763,17598,3443,357990,2607,4476,9922,215046,50669,9591,498726,46040,11408,4258,4649,50617,18327,3625,3413,122766,285069,22292,13579,16114,12305,10041,14270,12037,14571,11141,21389,28171,36495,30302,17086,13134,12142,57033,11428,33547,57370,90744,184364,325229,40434,545121,605777,389626,389163,363941,25222,463,216151,263382,30386,31314,1114,1701,318363,285069,33294,285069,204334,80735,204334,124179,80155,80735,835,204334,6981,2750,3380,2123,2583,1839,1550,3499,3408,3265,4762,6040,5109,17711,19270,28509,15690,27866,17230,16407,6919,4786,1030,1627,856,2013
ME-01,326306,18877,19076,12476,8510,3853,4753,12633,19768,18929,18680,21163,24965,27232,26412,8157,14262,9263,7988,13540,9076,6131,5343,344408,17373,19040,11873,8457,4493,3409,11221,20171,18448,17887,23591,24941,28744,26901,12154,14134,9025,10479,14477,11488,9635,10394,670714,633750,10031,2863,9049,45,2074,12902,660715,9999,643841,384829,252596,6416,26873,483378,32062,141395,143042,106952,59927,560791,58759,17976,23936,2836,336618,2863,13733,21588,150071,33445,7928,483378,49061,16457,5962,4523,57891,25167,4404,3414,78463,278148,17741,16787,15872,14172,14833,14477,12176,12348,13688,22064,28929,36532,23087,11631,12317,11494,52680,12453,31397,53121,82386,170361,285712,57289,482324,556705,367090,365996,342962,23034,1094,189615,224972,23331,20201,626,3768,349553,278148,71405,278148,194201,83947,194201,128006,66195,83947,856,194201,3918,1293,1264,1619,1293,699,768,1370,2042,1406,2703,3123,1881,11979,12929,18595,17513,33193,21975,27453,10626,10193,3437,2929,1116,2013
ME-02,323688,17828,19975,12825,9010,5773,4298,10438,18006,17454,17423,20192,22380,26034,26674,9775,13542,9711,9797,13910,9476,7094,4919,333900,16418,18420,11977,7844,5077,4128,10108,18987,18414,19141,19715,23935,26868,27451,10736,14712,10821,10374,13821,10372,10253,8597,657588,626720,3586,5379,5010,224,1737,14932,649155,8433,639774,461549,170707,7518,17814,470584,45699,181460,141116,65546,36763,567471,52431,17168,12844,1541,292553,1451,10883,14356,150150,38220,5780,470584,28967,10742,3230,3085,36579,15297,2416,1993,102176,269538,23144,18442,18061,18652,19067,17324,14882,14366,12271,24878,27897,29215,14980,5727,5588,5044,41499,10780,25396,41792,64182,132750,230723,62251,464403,543480,325962,325356,300416,24940,606,217518,193294,24344,23759,596,5138,373587,269538,104049,269538,190036,79502,190036,108217,81819,79502,683,190036,3894,2725,2601,3080,1513,2015,1794,5049,7011,8045,10335,9851,8586,21698,18761,21861,14071,18212,11693,9185,3484,2513,891,1168,737,2013
MD-01,354299,22301,23285,14390,8923,5075,6818,14168,19881,19172,17084,24472,24876,29919,27977,10457,11021,9491,9631,15273,10211,5808,4928,369417,19458,22662,15974,10212,6391,6059,12107,19252,18414,19688,22247,27609,29855,28714,11200,12878,9249,11099,16336,10557,8907,10806,723716,599804,85892,1345,15834,194,6034,14613,696845,26871,689033,454091,228197,6745,34683,497012,51775,156673,138020,89742,60802,637466,38614,20536,14430,3493,347241,4469,6668,16458,176225,43298,8663,497012,42183,19048,5620,4173,47559,25427,3315,3219,75818,265390,14034,9526,11749,12318,9988,13043,9438,9940,8132,19347,30482,35564,27482,18246,18949,17152,66538,15165,39872,66953,101883,206365,345701,54525,511466,587022,382324,381550,353162,28388,774,204698,242490,24493,19993,634,3949,333735,265390,68345,265390,203619,61771,203619,137884,65735,61771,1012,203619,4731,860,1131,1234,567,686,432,1385,1102,1714,1136,2217,2061,7251,7801,14322,15137,32191,29583,37135,21367,13196,3655,2725,1279,2013
MD-02,353837,21658,26047,14258,11010,4597,5627,16472,27824,24222,23759,21180,26825,25813,22329,8984,10458,6865,8454,8810,6558,4922,4388,391298,23491,20951,12853,10191,5511,5158,16846,34445,26394,26585,26769,27392,29310,24713,10570,13216,6812,8213,12557,8325,7530,8742,745135,415253,247501,2601,40701,679,15143,23257,697711,47424,665942,465327,188588,12027,79193,502964,60261,151537,143519,87390,60257,635614,53178,26327,17877,4396,367661,23745,7608,11185,199545,55930,13139,502964,40349,18217,3833,3384,47041,27373,3903,3547,86928,280069,18796,10097,9664,12520,12409,13520,13570,11511,11321,25679,30751,38395,27543,16842,15565,11886,60376,13893,37405,60587,92004,178117,286610,54819,518288,596986,408859,403590,368919,34671,5269,188127,271027,20922,23094,739,4368,302847,280069,22778,280069,174267,105802,174267,126178,48089,105802,1127,174267,4537,769,802,1314,483,368,564,938,1494,2035,2548,3412,2869,11682,12208,17498,15057,32290,21618,23019,10535,6009,754,1464,1244,2013
MD-03,360412,22790,23113,12791,9051,3995,4856,17076,32327,27679,24452,23519,23511,24586,24104,8992,11335,6718,8544,9120,8474,5033,4259,380039,22563,21597,12696,7960,4706,4563,15398,32444,29034,24586,25766,24440,25096,24138,8155,15754,9309,8778,13157,9097,8726,10941,740451,481714,161388,1693,47568,739,19906,27443,682656,57795,633264,355374,264097,13793,107187,512074,44400,109800,123085,126359,108430,623587,52785,23874,23934,6150,383553,25181,12709,19087,196092,50655,17439,512074,60405,30453,12601,7915,65954,41573,9225,6663,57302,284780,15422,8965,7712,10131,10928,10426,6798,11139,10420,19720,29796,40380,31320,20670,23016,27937,75431,16748,46307,75514,114053,255135,467387,49672,522359,596673,418906,411258,385855,25403,7648,177767,286028,17317,14451,763,3174,305978,284780,21198,284780,178903,105877,178903,130423,48480,105877,1332,178903,3882,514,330,636,430,194,255,920,1060,1178,646,1374,1457,4689,4824,9830,11545,24383,23367,34735,19332,22237,6457,4628,1572,2013
MD-04,355572,22770,24111,13832,9845,5232,5426,15461,27759,28332,21948,25838,26525,27231,20455,7863,9419,6786,6135,9980,5272,4204,3167,383721,25387,23105,13360,8728,3781,3711,17101,26604,29028,26983,25132,29225,30073,24937,10094,13354,8024,9398,12066,7250,6050,7333,739293,240823,390608,1898,23153,98,67332,15381,623509,115784,604996,223409,371653,9934,134297,496465,73715,131372,140346,88590,62442,633650,62928,10262,20395,3784,380662,58958,5488,9701,188975,39232,12824,496465,36376,19592,3448,3885,52214,28312,4125,3080,66977,260778,11368,6242,6704,8733,7828,9765,9998,11443,12420,21175,28362,37672,30065,19835,20261,18907,72281,19568,46853,72634,108719,206063,321298,49861,512377,583791,425642,422130,385135,36995,3512,158149,289228,31801,20263,1010,3734,282733,260778,21955,260778,162160,98618,162160,130443,31717,98618,1251,162160,3691,478,542,424,438,441,849,674,644,872,1201,871,1235,5332,5587,11665,11309,26612,22854,32367,12027,15879,3902,2266,1698,2013
